Start Date & Time,End Date & Time,Time Taken (minutes),parModellerJobID,User ID,parHowManyofEach,parJobDescription
2024-11-14 16:16:33,2024-11-14 16:24:53,8.33,13929,U.7849122,1,"Create MULTIPLE Messages
"
2024-11-15 22:33:10,2024-11-15 22:37:57,4.78,14050,U.7849122,1,"Create MULTIPLE Messages
"
2024-11-21 13:40:56,2024-11-21 13:46:49,5.88,14113,U.7849122,1,"Create ETMP_BULK_DATA Message
"
2024-11-25 10:03:01,2024-11-25 10:09:22,6.35,14121,U.7849122,1,"Create ETMP_BULK_DATA Message
"
